image_id,filename,codec,quality,ssim,psnr,msssim,msssim_db,bytes,bpp,perceptual similarity
15,kodim21.png,guetzli,87,0.9264839591484774,32.60746466233685,0.9897064231701589,19.874336896163015,48281,1.473419189453125,0.08569832146167755
15,kodim21.png,guetzli,85,0.9192300595965127,32.07818243106445,0.9883775234561779,19.347013216257455,43949,1.341217041015625,0.09553278982639313
16,kodim09.png,guetzli,99,0.9861014184392488,43.692916863299175,0.9984444934162945,28.08128146393321,157637,4.810699462890625,0.002647038083523512
16,kodim09.png,guetzli,97,0.9752016969993825,41.05393928006442,0.9972280946217855,25.572215988873232,119135,3.635711669921875,0.00594354048371315
16,kodim09.png,guetzli,95,0.9659833447084082,39.48173032067928,0.9960534044125615,24.037773740205715,89060,2.7178955078125,0.01192055270075798
16,kodim09.png,guetzli,93,0.9565508627063939,38.28471610660878,0.9947625797116508,22.808825737809777,68569,2.092559814453125,0.019275948405265808
16,kodim09.png,guetzli,91,0.9472443814002057,37.33992268276448,0.9930770740438452,21.597103133409448,52575,1.604461669921875,0.03239992633461952
16,kodim09.png,guetzli,89,0.937742288205349,36.53591079388293,0.9917411960847408,20.830828450060082,43081,1.314727783203125,0.05431065335869789
16,kodim09.png,guetzli,87,0.929500976403021,35.819988778096985,0.9902331422991848,20.102451397308926,35055,1.069793701171875,0.07691081613302231
16,kodim09.png,guetzli,85,0.9240738084542416,35.37015873513052,0.9893858134684896,19.741132844385135,31169,0.951202392578125,0.0928012803196907
17,kodim08.png,guetzli,99,0.9904879184994068,38.76870292160622,0.9989659682229898,29.854661146578056,185439,5.659149169921875,0.001923397183418274
17,kodim08.png,guetzli,97,0.9808243857600641,35.6718557095614,0.9978569822975617,26.689742414455647,144573,4.412017822265625,0.004316932056099176
17,kodim08.png,guetzli,95,0.9704150896329198,33.735038488800825,0.9965019632095038,24.56175627154236,109131,3.330413818359375,0.00714334798976779
17,kodim08.png,guetzli,93,0.960866459192213,32.44400993276215,0.9952246315031351,23.209931099482617,97483,2.974945068359375,0.010399344377219677
17,kodim08.png,guetzli,91,0.9508443945181099,31.383766715486065,0.9937312453716426,22.028187289863595,82505,2.517852783203125,0.013669799081981182
17,kodim08.png,guetzli,89,0.9410359436331266,30.497987911210682,0.9923065435557159,21.138785005853457,75974,2.31854248046875,0.01858169585466385
17,kodim08.png,guetzli,87,0.9302287409365514,29.719953896943952,0.9905514567558571,20.24635144908606,67152,2.04931640625,0.023510733619332314
17,kodim08.png,guetzli,85,0.9212999389202302,29.150001987759623,0.9891345058871643,19.639505191733143,63040,1.923828125,0.02822679467499256
18,kodim04.png,guetzli,99,0.9880651566229984,44.29964622455803,0.9984660356954742,28.141847463373942,165113,5.038848876953125,0.002840080065652728
18,kodim04.png,guetzli,97,0.9771624761246914,41.43985310332291,0.9970032979094405,25.233564291787893,124719,3.806121826171875,0.006735954433679581
18,kodim04.png,guetzli,95,0.9666675338490595,39.727024193632715,0.9952903213989605,23.270087290829068,86150,2.62908935546875,0.011740450747311115
18,kodim04.png,guetzli,93,0.9563979860329641,38.54181006934734,0.993681845311376,21.994097453834822,74241,2.265655517578125,0.017177259549498558
18,kodim04.png,guetzli,91,0.9473090230788755,37.62662316759553,0.9919717299109655,20.95378025297133,63460,1.9366455078125,0.023867860436439514
18,kodim04.png,guetzli,89,0.938325642829083,36.910750493984004,0.9902611371730209,20.114917512117785,55356,1.6893310546875,0.03235209360718727
18,kodim04.png,guetzli,87,0.9291322495500586,36.28391225617281,0.9883925797606881,19.35264291917288,49060,1.4971923828125,0.04437482729554176
18,kodim04.png,guetzli,85,0.9223394599643987,35.850203351179786,0.9869137154342021,18.831836400507974,44771,1.366302490234375,0.051833104342222214
19,kodim18.png,guetzli,99,0.9862581322732361,39.96622150328165,0.9984898640885609,28.20983964672513,186220,5.6829833984375,0.003890388645231724
19,kodim18.png,guetzli,97,0.9745737531915677,37.28072727495086,0.9970718250887433,25.334029847431545,143678,4.38470458984375,0.00949070230126381
